!time	FLOW
2019-11-26 00:00:00	-0.0535549
2019-11-27 00:00:00	-0.0527802
2019-11-28 00:00:00	-0.0369078
2019-11-29 00:00:00	-0.0375368
2019-11-30 00:00:00	-0.0408253
2019-12-01 00:00:00	-0.0483157
2019-12-02 00:00:00	-0.0479017
2019-12-03 00:00:00	-0.043972
2019-12-04 00:00:00	-0.0404296
2019-12-05 00:00:00	-0.0398229
2019-12-06 00:00:00	-0.0452032
2019-12-07 00:00:00	-0.0476144
2019-12-08 00:00:00	-0.0402023
2019-12-09 00:00:00	-0.0402125
2019-12-10 00:00:00	-0.0430347
2019-12-11 00:00:00	-0.0405312
2019-12-12 00:00:00	-0.0356679
2019-12-13 00:00:00	-0.0358149
2019-12-14 00:00:00	-0.040128
2019-12-15 00:00:00	-0.0479615
2019-12-16 00:00:00	-0.0457027
2019-12-17 00:00:00	-0.0435887
2019-12-18 00:00:00	-0.0443665
2019-12-19 00:00:00	-0.0406445
2019-12-20 00:00:00	-0.0425205
2019-12-21 00:00:00	-0.046376
2019-12-22 00:00:00	-0.0445906
2019-12-23 00:00:00	-0.0499567
2019-12-24 00:00:00	-0.0524746
2019-12-25 00:00:00	-0.0480345
2019-12-26 00:00:00	-0.0436253
2019-12-27 00:00:00	-0.0428057
2019-12-28 00:00:00	-0.0479801
2019-12-29 00:00:00	-0.0540788
2019-12-30 00:00:00	-0.0505943
2019-12-31 00:00:00	-0.0547175
2020-01-01 00:00:00	-0.0542474
2020-01-02 00:00:00	-0.0557212
2020-01-03 00:00:00	-0.0550294
2020-01-04 00:00:00	-0.0547101
2020-01-05 00:00:00	-0.0546091
2020-01-06 00:00:00	-0.0527571
2020-01-07 00:00:00	-0.0545701
2020-01-08 00:00:00	-0.0529422
2020-01-09 00:00:00	-0.0519457
2020-01-10 00:00:00	-0.057183
2020-01-11 00:00:00	-0.0600952
2020-01-12 00:00:00	-0.0604484
2020-01-13 00:00:00	-0.0576166
